conso_observée_2020,conso_prédite,moyenne_conso_16_a_19,Mois
2972710.0,3240961.0,2919983.0,1
3151768.0,3088862.0,3143639.5,1
3102941.0,2968579.0,3302018.25,1
2967751.0,3087046.0,3428000.0,1
2940125.0,3138250.0,3377621.75,1
3382120.0,3194806.0,3357855.0,1
3321204.0,3012409.0,3385948.25,1
3179972.0,2862937.0,3370742.0,1
3084831.0,2816277.0,3375124.0,1
3134787.0,2980898.0,3382095.0,1
3014123.0,3111485.0,3457047.75,1
2979162.0,3109263.0,3395587.25,1
3259713.0,3033720.0,3338414.5,1
3253132.0,2877179.0,3356493.75,1
3184168.0,2855567.0,3473011.5,1
3122305.0,2898286.0,3499936.75,1
3137023.0,2965649.0,3548189.0,1
3027697.0,3147338.0,3740273.25,1
3107399.0,3247525.0,3681655.5,1
3522609.0,3257828.0,3582890.25,1
3606290.0,3284488.0,3571308.75,1
3635982.0,3289235.0,3600965.0,1
3610528.0,3263079.0,3524632.25,1
3524417.0,3218034.0,3515423.75,1
3204508.0,3140269.0,3560881.25,1
2990132.0,3048970.0,3463679.5,1
3298583.0,3000895.0,3338222.75,1
3353261.0,3035539.0,3269668.0,1
3311625.0,2984739.0,3338562.75,1
3251304.0,2943226.0,3341407.5,1
3001826.0,2713971.0,3281755.5,1
2750459.0,2734474.0,3306316.75,2
2595786.0,2676806.0,3294459.25,2
2829323.0,2625297.0,3266426.75,2
3092349.0,2996453.0,3367987.0,2
3186971.0,3045132.0,3379101.0,2
3286563.0,3150874.0,3385649.25,2
3271465.0,3078865.0,3363747.5,2
2923994.0,2949489.0,3463954.75,2
2828338.0,2854454.0,3439816.5,2
3002038.0,2771236.0,3371214.75,2
3147983.0,2934644.0,3370197.0,2
3216309.0,3026347.0,3419977.0,2
3242963.0,2982717.0,3418021.75,2
3050419.0,2858595.0,3327386.75,2
2797190.0,2848295.0,3316315.25,2
2632585.0,2649535.0,3229422.0,2
2944633.0,2860616.0,3138116.25,2
3116557.0,2993524.0,3156640.75,2
3135208.0,2980900.0,3216829.5,2
3066358.0,2903739.0,3197689.75,2
3097967.0,3042810.0,3117993.25,2
2876886.0,2940803.0,3202965.75,2
2658872.0,2770023.0,3161677.0,2
2845087.0,2741946.0,3119336.5,2
2978358.0,2917072.0,3154464.5,2
3192256.0,3102497.0,3241257.0,2
3269745.0,3024326.0,3303290.75,2
3218674.0,3047657.0,3372957.25,2
2804026.0,2942925.0,3417592.25,3
3145398.0,3023115.0,3201394.5,3
3270931.0,3114312.0,3064419.75,3
3258773.0,3045738.0,3031165.25,3
3152820.0,2874451.0,3057829.25,3
3217317.0,3050788.0,3108795.5,3
2917335.0,3015239.0,3213127.25,3
2800667.0,2893439.0,3222038.25,3
3025435.0,2932320.0,3049783.25,3
3075591.0,2833448.0,2857146.75,3
2861021.0,2599948.0,2826725.75,3
2847553.0,2760226.0,2860077.5,3
2890741.0,2916464.0,2953579.5,3
2642608.0,2911415.0,3044969.5,3
2520998.0,2789413.0,2984932.25,3
2710074.0,2850716.0,2894458.0,3
2595968.0,2730130.0,2858288.0,3
2421205.0,2674077.0,2940093.25,3
2295297.0,2633782.0,2957299.25,3
