conso_observée_2019,conso_prédite,moyenne_conso_16_a_18,Mois
108647593.0,101533522.0,105014846.63999999,1
88989860.0,84505625.0,93140995.35,2
87033024.0,89641781.0,93138072.71000001,3
76177247.0,83288116.0,75356768.69000001,4
71969703.0,81619225.0,70056906.97,5
65860473.0,66242733.0,66573391.24999998,6
69553486.0,62644370.0,68594484.56,7
63719769.0,65128876.0,65004578.25999998,8
65107489.0,69907065.0,67025102.65,9
73283647.0,79979002.0,75665362.28999999,10
88619042.0,90151597.0,89407959.35000001,11
94857527.0,94754263.0,100661422.40999997,12
