conso_observée_2020,conso_prédite,moyenne_conso_16_a_19,Mois,insee
472472.0,449265.0,436500.75,1,11
480643.0,425027.0,481175.25,1,11
451547.0,404626.0,492823.25,1,11
442054.0,427653.0,504893.75,1,11
432944.0,419977.0,499661.5,1,11
500937.0,437550.0,496612.0,1,11
492939.0,414119.0,502893.5,1,11
457031.0,403414.0,499690.75,1,11
439716.0,397354.0,501700.5,1,11
455814.0,416341.0,502292.0,1,11
448199.0,429874.0,508467.25,1,11
444984.0,429268.0,498261.25,1,11
475690.0,414927.0,494428.75,1,11
466454.0,402606.0,499538.25,1,11
460137.0,400788.0,519700.25,1,11
459912.0,409272.0,522754.5,1,11
452898.0,409272.0,535556.0,1,11
455092.0,429268.0,564382.5,1,11
468559.0,438762.0,572509.0,1,11
533325.0,442196.0,560237.5,1,11
557018.0,449265.0,562570.75,1,11
576224.0,458153.0,558809.25,1,11
581299.0,455325.0,549775.75,1,11
574803.0,452901.0,531773.0,1,11
531792.0,449871.0,536819.25,1,11
485656.0,430682.0,515268.25,1,11
504545.0,416543.0,497899.0,1,11
516008.0,427249.0,486245.5,1,11
514650.0,420987.0,503821.25,1,11
503165.0,413715.0,497370.25,1,11
444423.0,389679.0,486454.75,1,11
397804.0,389679.0,490660.75,2,11
381389.0,386447.0,485611.75,2,11
427524.0,392506.0,484185.25,2,11
477779.0,421593.0,504760.75,2,11
485446.0,416947.0,510675.75,2,11
492009.0,428864.0,510444.25,2,11
490620.0,425229.0,500229.75,2,11
427352.0,410281.0,518859.5,2,11
401020.0,401798.0,518459.75,2,11
443658.0,405838.0,508620.75,2,11
473817.0,420381.0,516359.5,2,11
489090.0,423815.0,531517.25,2,11
464594.0,410281.0,529837.0,2,11
443393.0,404828.0,517798.75,2,11
394324.0,403616.0,503083.75,2,11
356114.0,378165.0,488675.25,2,11
421040.0,404222.0,481740.5,2,11
451180.0,418967.0,490513.75,2,11
456238.0,420381.0,495960.0,2,11
449765.0,409675.0,483223.25,2,11
470348.0,425633.0,463747.0,2,11
419273.0,413109.0,477432.25,2,11
381091.0,397960.0,471527.25,2,11
416164.0,397152.0,473828.75,2,11
438780.0,411493.0,476794.75,2,11
488248.0,434520.0,488203.25,2,11
