conso_observée_2019,conso_prédite,moyenne_conso_16_a_18,insee,Mois
16177195.0,13743364.0,15835448.99,11,1
13270272.0,11804216.0,14148959.35,11,2
12865608.0,12732545.0,14101890.99,11,3
10975545.0,11968666.0,11147199.34,11,4
10536657.0,12037356.0,10328805.33,11,5
9490945.0,10562515.0,9691579.32,11,6
9509833.0,10486618.0,9568406.33,11,7
8388083.0,10685498.0,8786318.99,11,8
9067077.0,10986716.0,9611365.33,11,9
11089626.0,12067401.0,11242100.98,11,10
13451751.0,12625643.0,13573185.98,11,11
14392704.0,13262965.0,15218652.01,11,12
4518435.0,4797200.0,4247228.33,24,1
3638640.0,3710367.0,3803042.0,24,2
3555928.0,3786745.0,3715991.67,24,3
2957896.0,3376550.0,2920529.31,24,4
2725839.0,3119086.0,2595758.32,24,5
2463891.0,1890528.0,2472844.66,24,6
2690267.0,1452991.0,2554305.32,24,7
2480402.0,1679136.0,2430069.99,24,8
2527181.0,2265680.0,2453717.99,24,9
2829808.0,2985953.0,2859587.68,24,10
3524463.0,3919756.0,3559925.68,24,11
3840347.0,4219679.0,4105315.33,24,12
4830916.0,5508724.0,4670120.34,27,1
4046081.0,4265492.0,4140090.32,27,2
3998086.0,4317012.0,4159044.02,27,3
3464796.0,3834854.0,3363108.03,27,4
3350031.0,3618844.0,3193234.67,27,5
2961144.0,2194336.0,3003552.65,27,6
3068573.0,1848791.0,3046726.33,27,7
2637874.0,2111149.0,2806126.66,27,8
2968617.0,2717978.0,3045835.66,27,9
3380084.0,3465423.0,3502757.98,27,10
3878503.0,4492807.0,4067234.66,27,11
4071123.0,4836905.0,4494627.34,27,12
6216673.0,6111977.0,6113978.33,28,1
5205339.0,5066492.0,5487177.01,28,2
5194136.0,5320223.0,5527926.99,28,3
4524840.0,4915266.0,4563026.35,28,4
4224274.0,4738798.0,4020792.0,28,5
3743420.0,3722784.0,3761079.32,28,6
3798599.0,3395516.0,3845680.35,28,7
3529743.0,3533787.0,3667977.34,28,8
3696379.0,3907737.0,3875057.66,28,9
4331576.0,4659751.0,4465543.64,28,10
5235455.0,5392473.0,5248737.01,28,11
5678876.0,5745352.0,5854373.33,28,12
10754090.0,10126644.0,10916043.35,32,1
9026663.0,8598790.0,9556660.01,32,2
