conso_observée_2020,conso_prédite,moyenne_conso_16_a_19,insee
15080930.0,13165929.0,15920885.5,11
12445119.0,11500202.0,13929287.5,11
12379627.0,12747203.0,13792820.25,11
8544574.0,11295265.0,11104285.75,11
8728740.0,11476289.0,10380768.25,11
8796537.0,10642432.0,9641420.75,11
8821031.0,10625106.0,9553763.0,11
8595088.0,10287381.0,8686760.0,11
9187743.0,10570325.0,9475293.25,11
11211024.0,12058017.0,11203982.25,11
11743041.0,12136956.0,13542827.25,11
14018183.0,13121494.0,15012165.0,11
4064570.0,4189771.0,4315030.0,24
3488018.0,3443453.0,3761941.5,24
3454522.0,3799025.0,3675975.75,24
2525197.0,2795723.0,2929871.0,24
2430012.0,2601433.0,2628278.5,24
2360544.0,2162282.0,2470606.25,24
2576333.0,1711364.0,2588295.75,24
2429842.0,1504124.0,2442653.0,24
2470995.0,2006446.0,2472083.75,24
3079505.0,3202751.0,2852142.75,24
3331087.0,3534599.0,3551060.0,24
3970471.0,4227241.0,4039073.25,24
4384696.0,4864416.0,4710319.25,27
3754276.0,3910959.0,4116588.0,27
3608668.0,4287130.0,4118804.5,27
2773216.0,3182630.0,3388530.0,27
2899270.0,3026715.0,3232433.75,27
2783610.0,2439916.0,2992950.5,27
2910555.0,1948093.0,3052188.0,27
2721883.0,1768730.0,2764063.5,27
2934215.0,2399923.0,3026531.0,27
3542523.0,3667831.0,3472089.5,27
3604433.0,4079462.0,4020051.75,27
4240420.0,4781803.0,4388751.25,27
5893238.0,5671164.0,6139652.0,28
5057345.0,4852127.0,5416717.5,28
5141513.0,5408371.0,5444479.25,28
3724805.0,4354168.0,4553479.75,28
3605825.0,4329956.0,4071662.5,28
3506499.0,3732142.0,3756664.5,28
3622932.0,3571282.0,3833910.0,28
3459937.0,3200632.0,3633418.75,28
3688949.0,3640336.0,3830388.0,28
4473791.0,4693941.0,4432051.75,28
4759547.0,4900247.0,5245416.5,28
5588609.0,5619150.0,5810499.0,28
10077460.0,9608030.0,10875555.0,32
8850612.0,8423195.0,9424160.75,32
8880728.0,9355549.0,9523297.0,32
6625936.0,8142477.0,8043219.5,32
6733512.0,8195117.0,7614329.75,32
6630689.0,7391180.0,7173436.75,32
6969859.0,7446748.0,7198299.5,32
6446842.0,6949348.0,6676146.5,32
7071889.0,7403295.0,7295564.25,32
8166434.0,8543955.0,8274837.0,32
8458054.0,8712390.0,9406697.25,32
9372455.0,9589957.0,10101231.25,32
9244099.0,9197693.0,9871365.5,44
7879739.0,7865907.0,8698781.0,44
7711947.0,8675041.0,8810987.25,44
5819518.0,7399260.0,7417605.75,44
6029741.0,7475330.0,7063599.25,44
6252817.0,6666845.0,6690421.5,44
6384747.0,6424379.0,6788180.75,44
5859933.0,6106043.0,6224048.5,44
6342306.0,6639877.0,6785179.25,44
7507369.0,7952630.0,7764740.75,44
7961792.0,8323257.0,8690123.75,44
8712568.0,9134772.0,9235357.75,44
5794695.0,5598014.0,6077043.25,52
4905646.0,4765271.0,5342188.5,52
4972617.0,5266957.0,5328540.75,52
3604182.0,4197578.0,4386541.25,52
3607458.0,3974226.0,3902823.25,52
3522117.0,3671393.0,3641281.25,52
3751411.0,3347657.0,3786424.75,52
3481028.0,3141423.0,3543213.5,52
3649271.0,3496675.0,3658679.0,52
4427432.0,4664825.0,4209073.75,52
4633216.0,4918476.0,5124454.5,52
5534335.0,5630336.0,5722588.75,52
4900770.0,4577796.0,5032431.25,53
4184828.0,3920048.0,4430911.75,53
4274946.0,4413171.0,4445336.0,53
3070476.0,3539342.0,3614895.75,53
2889043.0,3295366.0,3153762.25,53
2910245.0,3001042.0,2921351.75,53
