Date,total_conso,tmin,tmax,tmoy,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
2016-01-01,399184.0,3.3,8.76,6.03,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-01,103971.0,1.52,10.73,6.12,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-01,112383.0,2.22,9.52,5.87,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-01,154861.0,2.78,9.4,6.09,0,0,0,0,0,0,1,0,0,0,0,0
2016-01-01,263091.0,1.72,7.72,4.72,0,0,0,0,0,1,0,0,0,0,0,0
2016-01-01,238041.0,1.13,6.99,4.06,0,0,0,0,1,0,0,0,0,0,0,0
2016-01-01,139420.0,5.35,10.95,8.15,0,0,0,0,0,0,0,0,0,1,0,0
2016-01-01,125985.0,3.0,12.27,7.64,0,0,1,0,0,0,0,0,0,0,0,0
2016-01-01,239091.0,3.32,13.58,8.45,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-01,226493.0,4.54,13.34,8.94,0,0,0,0,0,0,0,0,1,0,0,0
2016-01-01,393347.0,2.96,10.56,6.76,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,238843.0,5.3,12.77,9.03,0,0,0,0,0,0,0,0,0,0,1,0
2016-01-02,404152.0,6.6,10.86,8.73,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-02,106423.0,6.92,11.22,9.07,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-02,117255.0,4.95,9.4,7.18,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-02,158681.0,7.28,10.06,8.67,0,0,0,0,0,0,1,0,0,0,0,0
2016-01-02,277329.0,6.26,10.76,8.51,0,0,0,0,0,1,0,0,0,0,0,0
2016-01-02,250603.0,3.94,8.96,6.45,0,0,0,0,1,0,0,0,0,0,0,0
2016-01-02,148129.0,8.15,11.6,9.88,0,0,0,0,0,0,0,0,0,1,0,0
2016-01-02,131344.0,7.32,10.95,9.14,0,0,1,0,0,0,0,0,0,0,0,0
2016-01-02,241264.0,7.63,11.82,9.73,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-02,226342.0,6.98,11.02,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2016-01-02,418237.0,5.45,8.95,7.2,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-02,246101.0,7.78,11.22,9.5,0,0,0,0,0,0,0,0,0,0,1,0
2016-01-03,420933.0,5.3,8.08,6.69,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-03,111927.0,4.65,8.4,6.52,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-03,116468.0,3.88,7.6,5.74,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-03,160550.0,5.26,8.44,6.85,0,0,0,0,0,0,1,0,0,0,0,0
2016-01-03,280415.0,5.44,7.96,6.7,0,0,0,0,0,1,0,0,0,0,0,0
2016-01-03,248567.0,3.81,7.37,5.59,0,0,0,0,1,0,0,0,0,0,0,0
2016-01-03,151912.0,5.8,10.2,8.0,0,0,0,0,0,0,0,0,0,1,0,0
2016-01-03,127386.0,6.4,11.9,9.15,0,0,1,0,0,0,0,0,0,0,0,0
2016-01-03,251232.0,5.44,11.67,8.56,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-03,241511.0,3.88,11.16,7.52,0,0,0,0,0,0,0,0,1,0,0,0
2016-01-03,426685.0,2.24,7.93,5.08,1,0,0,0,0,0,0,0,0,0,0,0
